Station Name,model and version
APC,X-Link ver 1.32
Label,Meas Type,Slope,Offset,Equation
BTV,Battery,1.000000,0.000000,Off
COND,SDI-12,1.000000,0.000000,Off
ODO,SDI-12,1.000000,0.000000,Off
PH,SDI-12,1.000000,0.000000,Off
TEMP,SDI-12,1.000000,0.000000,Off
TURB,SDI-12,1.000000,0.000000,Off
W.LVL,SDI-12,1.000000,0.000000,Off
PLSTEMP,SDI-12,1.000000,0.000000,Off
06/07/2017,10:42:52,Setup Change
06/07/2017,10:43:44,Log Download,0
06/07/2017,10:45:00,BTV,13.22
06/07/2017,10:45:00,COND,217
06/07/2017,10:45:00,ODO,9.90
06/07/2017,10:45:00,PH,9.04
06/07/2017,10:45:00,TEMP,13.76
06/07/2017,10:45:00,TURB,18.51
06/07/2017,10:45:00,W.LVL,0.3310
06/07/2017,10:45:00,PLSTEMP,13.80
06/07/2017,10:46:57,Modem Power,0
06/07/2017,11:00:00,BTV,13.27
06/07/2017,11:00:00,COND,221
06/07/2017,11:00:00,ODO,9.84
06/07/2017,11:00:00,PH,8.92
06/07/2017,11:00:00,TEMP,14.07
06/07/2017,11:00:00,TURB,25.70
06/07/2017,11:00:00,W.LVL,0.3270
06/07/2017,11:00:00,PLSTEMP,14.10
06/07/2017,11:02:30,Modem Power,1
06/07/2017,11:02:39,Load MO Tx,29
06/07/2017,11:02:45,SBDIX,0
06/07/2017,11:02:58,MO status,18
06/07/2017,11:03:02,SBDIX,0
06/07/2017,11:03:17,MO status,0
06/07/2017,11:03:17,MOMSN,27645
06/07/2017,11:03:22,SigStr,3
06/07/2017,11:02:28,Tx Good,26294
06/07/2017,11:03:22,Modem Power,0
06/07/2017,11:15:00,BTV,13.25
06/07/2017,11:15:00,COND,224
06/07/2017,11:15:00,ODO,9.81
06/07/2017,11:15:00,PH,8.88
06/07/2017,11:15:00,TEMP,14.38
06/07/2017,11:15:00,TURB,24.28
06/07/2017,11:15:00,W.LVL,0.3280
06/07/2017,11:15:00,PLSTEMP,14.40
06/07/2017,11:30:00,BTV,13.22
06/07/2017,11:30:00,COND,225
06/07/2017,11:30:00,ODO,9.75
06/07/2017,11:30:00,PH,8.86
06/07/2017,11:30:00,TEMP,14.70
06/07/2017,11:30:00,TURB,18.63
06/07/2017,11:30:00,W.LVL,0.3280
06/07/2017,11:30:00,PLSTEMP,14.60
06/07/2017,11:45:00,BTV,13.28
06/07/2017,11:45:00,COND,229
06/07/2017,11:45:00,ODO,9.70
06/07/2017,11:45:00,PH,8.85
06/07/2017,11:45:00,TEMP,15.04
06/07/2017,11:45:00,TURB,19.98
06/07/2017,11:45:00,W.LVL,0.3280
06/07/2017,11:45:00,PLSTEMP,14.90
06/07/2017,12:00:00,BTV,13.20
06/07/2017,12:00:00,COND,314
06/07/2017,12:00:00,ODO,9.63
06/07/2017,12:00:00,PH,8.85
06/07/2017,12:00:00,TEMP,15.41
06/07/2017,12:00:00,TURB,16.86
06/07/2017,12:00:00,W.LVL,0.3300
06/07/2017,12:00:00,PLSTEMP,15.30
06/07/2017,12:02:32,Modem Power,1
06/07/2017,12:02:59,Load MO Tx,29
06/07/2017,12:03:06,SBDIX,0
06/07/2017,12:03:12,MO status,0
06/07/2017,12:03:12,MOMSN,27646
06/07/2017,12:03:17,SigStr,5
06/07/2017,12:02:30,Tx Good,26295
06/07/2017,12:03:17,Modem Power,0
06/07/2017,12:15:00,BTV,13.20
06/07/2017,12:15:00,COND,357
06/07/2017,12:15:00,ODO,9.56
06/07/2017,12:15:00,PH,8.85
06/07/2017,12:15:00,TEMP,15.80
06/07/2017,12:15:00,TURB,15.84
06/07/2017,12:15:00,W.LVL,0.3260
06/07/2017,12:15:00,PLSTEMP,15.70
06/07/2017,12:30:00,BTV,13.22
06/07/2017,12:30:00,COND,357
06/07/2017,12:30:00,ODO,9.50
06/07/2017,12:30:00,PH,8.86
06/07/2017,12:30:00,TEMP,16.18
06/07/2017,12:30:00,TURB,18.63
06/07/2017,12:30:00,W.LVL,0.3310
06/07/2017,12:30:00,PLSTEMP,16.10
06/07/2017,12:45:00,BTV,13.23
06/07/2017,12:45:00,COND,357
06/07/2017,12:45:00,ODO,9.45
06/07/2017,12:45:00,PH,8.86
06/07/2017,12:45:00,TEMP,16.53
06/07/2017,12:45:00,TURB,14.67
06/07/2017,12:45:00,W.LVL,0.3270
06/07/2017,12:45:00,PLSTEMP,16.50
06/07/2017,13:00:00,BTV,13.22
06/07/2017,13:00:00,COND,357
06/07/2017,13:00:00,ODO,9.39
06/07/2017,13:00:00,PH,8.85
06/07/2017,13:00:00,TEMP,16.88
06/07/2017,13:00:00,TURB,15.52
06/07/2017,13:00:00,W.LVL,0.3300
06/07/2017,13:00:00,PLSTEMP,16.90
06/07/2017,13:02:09,Modem Power,1
06/07/2017,13:02:20,Load MO Tx,29
06/07/2017,13:02:26,SBDIX,0
06/07/2017,13:02:47,MO status,0
06/07/2017,13:02:47,MOMSN,27647
06/07/2017,13:02:51,SigStr,0
06/07/2017,13:02:07,Tx Good,26296
06/07/2017,13:02:51,Modem Power,0
06/07/2017,13:15:00,BTV,13.35
06/07/2017,13:15:00,COND,357
06/07/2017,13:15:00,ODO,9.33
06/07/2017,13:15:00,PH,8.84
06/07/2017,13:15:00,TEMP,17.21
06/07/2017,13:15:00,TURB,16.50
06/07/2017,13:15:00,W.LVL,0.3250
06/07/2017,13:15:00,PLSTEMP,17.20
06/07/2017,13:30:00,BTV,13.32
06/07/2017,13:30:00,COND,357
06/07/2017,13:30:00,ODO,9.27
06/07/2017,13:30:00,PH,8.84
06/07/2017,13:30:00,TEMP,17.42
06/07/2017,13:30:00,TURB,13.79
06/07/2017,13:30:00,W.LVL,0.3270
06/07/2017,13:30:00,PLSTEMP,17.50
06/07/2017,13:45:00,BTV,13.27
06/07/2017,13:45:00,COND,357
06/07/2017,13:45:00,ODO,9.23
06/07/2017,13:45:00,PH,8.84
06/07/2017,13:45:00,TEMP,17.60
06/07/2017,13:45:00,TURB,16.37
06/07/2017,13:45:00,W.LVL,0.3280
06/07/2017,13:45:00,PLSTEMP,17.70
06/07/2017,14:00:00,BTV,13.65
06/07/2017,14:00:00,COND,357
06/07/2017,14:00:00,ODO,9.21
06/07/2017,14:00:00,PH,8.84
06/07/2017,14:00:00,TEMP,17.69
06/07/2017,14:00:00,TURB,16.17
06/07/2017,14:00:00,W.LVL,0.3280
06/07/2017,14:00:00,PLSTEMP,17.80
06/07/2017,14:02:42,Modem Power,1
06/07/2017,14:02:55,Load MO Tx,29
06/07/2017,14:03:02,SBDIX,0
06/07/2017,14:03:10,MO status,0
06/07/2017,14:03:10,MOMSN,27648
06/07/2017,14:03:14,SigStr,5
06/07/2017,14:02:40,Tx Good,26297
06/07/2017,14:03:15,Modem Power,0
06/07/2017,14:15:00,BTV,13.43
06/07/2017,14:15:00,COND,358
06/07/2017,14:15:00,ODO,9.21
06/07/2017,14:15:00,PH,8.85
06/07/2017,14:15:00,TEMP,17.65
06/07/2017,14:15:00,TURB,14.80
06/07/2017,14:15:00,W.LVL,0.3290
06/07/2017,14:15:00,PLSTEMP,17.80
06/07/2017,14:30:00,BTV,13.38
06/07/2017,14:30:00,COND,358
06/07/2017,14:30:00,ODO,9.26
06/07/2017,14:30:00,PH,8.84
06/07/2017,14:30:00,TEMP,17.48
06/07/2017,14:30:00,TURB,14.47
06/07/2017,14:30:00,W.LVL,0.3290
06/07/2017,14:30:00,PLSTEMP,17.70
06/07/2017,14:45:00,BTV,13.30
06/07/2017,14:45:00,COND,358
06/07/2017,14:45:00,ODO,9.29
06/07/2017,14:45:00,PH,8.85
06/07/2017,14:45:00,TEMP,17.32
06/07/2017,14:45:00,TURB,14.49
06/07/2017,14:45:00,W.LVL,0.3260
06/07/2017,14:45:00,PLSTEMP,17.60
06/07/2017,15:00:00,BTV,13.79
06/07/2017,15:00:00,COND,358
06/07/2017,15:00:00,ODO,9.31
06/07/2017,15:00:00,PH,8.85
06/07/2017,15:00:00,TEMP,17.29
06/07/2017,15:00:00,TURB,15.08
06/07/2017,15:00:00,W.LVL,0.3260
06/07/2017,15:00:00,PLSTEMP,17.50
06/07/2017,15:02:18,Modem Power,1
06/07/2017,15:02:31,Load MO Tx,29
06/07/2017,15:02:36,SBDIX,0
06/07/2017,15:02:42,MO status,0
06/07/2017,15:02:42,MOMSN,27649
06/07/2017,15:02:47,SigStr,5
06/07/2017,15:02:16,Tx Good,26298
06/07/2017,15:02:47,Modem Power,0
06/07/2017,15:15:00,BTV,13.35
06/07/2017,15:15:00,COND,358
06/07/2017,15:15:00,ODO,9.31
06/07/2017,15:15:00,PH,8.86
06/07/2017,15:15:00,TEMP,17.40
06/07/2017,15:15:00,TURB,14.65
06/07/2017,15:15:00,W.LVL,0.3280
06/07/2017,15:15:00,PLSTEMP,17.50
06/07/2017,15:30:00,BTV,13.23
06/07/2017,15:30:00,COND,358
06/07/2017,15:30:00,ODO,9.29
06/07/2017,15:30:00,PH,8.86
06/07/2017,15:30:00,TEMP,17.51
06/07/2017,15:30:00,TURB,13.40
06/07/2017,15:30:00,W.LVL,0.3280
06/07/2017,15:30:00,PLSTEMP,17.60
06/07/2017,15:45:00,BTV,13.53
06/07/2017,15:45:00,COND,358
06/07/2017,15:45:00,ODO,9.27
06/07/2017,15:45:00,PH,8.86
06/07/2017,15:45:00,TEMP,17.57
06/07/2017,15:45:00,TURB,16.25
06/07/2017,15:45:00,W.LVL,0.3280
06/07/2017,15:45:00,PLSTEMP,17.70
06/07/2017,16:00:00,BTV,13.33
06/07/2017,16:00:00,COND,358
06/07/2017,16:00:00,ODO,9.23
06/07/2017,16:00:00,PH,8.85
06/07/2017,16:00:00,TEMP,17.66
06/07/2017,16:00:00,TURB,13.99
06/07/2017,16:00:00,W.LVL,0.3280
06/07/2017,16:00:00,PLSTEMP,17.80
06/07/2017,16:02:24,Modem Power,1
06/07/2017,16:02:35,Load MO Tx,29
06/07/2017,16:02:41,SBDIX,0
06/07/2017,16:02:51,MO status,0
06/07/2017,16:02:51,MOMSN,27650
06/07/2017,16:02:55,SigStr,4
06/07/2017,16:02:22,Tx Good,26299
06/07/2017,16:02:55,Modem Power,0
06/07/2017,16:15:00,BTV,13.35
06/07/2017,16:15:00,COND,358
06/07/2017,16:15:00,ODO,9.20
06/07/2017,16:15:00,PH,8.86
06/07/2017,16:15:00,TEMP,17.73
06/07/2017,16:15:00,TURB,14.36
06/07/2017,16:15:00,W.LVL,0.3270
06/07/2017,16:15:00,PLSTEMP,17.90
06/07/2017,16:30:00,BTV,13.61
06/07/2017,16:30:00,COND,357
06/07/2017,16:30:00,ODO,9.23
06/07/2017,16:30:00,PH,8.86
06/07/2017,16:30:00,TEMP,17.71
06/07/2017,16:30:00,TURB,13.17
06/07/2017,16:30:00,W.LVL,0.3260
06/07/2017,16:30:00,PLSTEMP,17.90
06/07/2017,16:45:00,BTV,13.70
06/07/2017,16:45:00,COND,358
06/07/2017,16:45:00,ODO,9.24
06/07/2017,16:45:00,PH,8.86
06/07/2017,16:45:00,TEMP,17.63
06/07/2017,16:45:00,TURB,12.46
06/07/2017,16:45:00,W.LVL,0.3260
06/07/2017,16:45:00,PLSTEMP,17.80
06/07/2017,17:00:00,BTV,13.30
06/07/2017,17:00:00,COND,358
06/07/2017,17:00:00,ODO,9.22
06/07/2017,17:00:00,PH,8.86
06/07/2017,17:00:00,TEMP,17.59
06/07/2017,17:00:00,TURB,12.59
06/07/2017,17:00:00,W.LVL,0.3260
06/07/2017,17:00:00,PLSTEMP,17.80
06/07/2017,17:02:56,Modem Power,1
06/07/2017,17:03:09,Load MO Tx,29
06/07/2017,17:03:17,SBDIX,0
06/07/2017,17:03:25,MO status,0
06/07/2017,17:03:25,MOMSN,27651
06/07/2017,17:03:29,SigStr,5
06/07/2017,17:02:54,Tx Good,26300
06/07/2017,17:03:29,Modem Power,0
06/07/2017,17:03:36,Modem Reset
06/07/2017,17:03:38,Modem Power,1
06/07/2017,17:03:40,Modem Power,0
06/07/2017,17:15:00,BTV,13.35
06/07/2017,17:15:00,COND,359
06/07/2017,17:15:00,ODO,9.21
06/07/2017,17:15:00,PH,8.86
06/07/2017,17:15:00,TEMP,17.61
06/07/2017,17:15:00,TURB,14.47
06/07/2017,17:15:00,W.LVL,0.3270
06/07/2017,17:15:00,PLSTEMP,17.80
06/07/2017,17:30:00,BTV,14.11
06/07/2017,17:30:00,COND,359
06/07/2017,17:30:00,ODO,9.18
06/07/2017,17:30:00,PH,8.85
06/07/2017,17:30:00,TEMP,17.62
06/07/2017,17:30:00,TURB,15.72
06/07/2017,17:30:00,W.LVL,0.3250
06/07/2017,17:30:00,PLSTEMP,17.80
06/07/2017,17:45:00,BTV,13.33
06/07/2017,17:45:00,COND,359
06/07/2017,17:45:00,ODO,9.21
06/07/2017,17:45:00,PH,8.85
06/07/2017,17:45:00,TEMP,17.55
06/07/2017,17:45:00,TURB,14.62
06/07/2017,17:45:00,W.LVL,0.3250
06/07/2017,17:45:00,PLSTEMP,17.80
06/07/2017,18:00:00,BTV,13.57
06/07/2017,18:00:00,COND,359
06/07/2017,18:00:00,ODO,9.23
06/07/2017,18:00:00,PH,8.85
06/07/2017,18:00:00,TEMP,17.46
06/07/2017,18:00:00,TURB,12.01
06/07/2017,18:00:00,W.LVL,0.3250
06/07/2017,18:00:00,PLSTEMP,17.70
06/07/2017,18:02:08,Modem Power,1
06/07/2017,18:02:17,Load MO Tx,29
06/07/2017,18:02:23,SBDIX,0
06/07/2017,18:02:30,MO status,0
06/07/2017,18:02:30,MOMSN,27652
06/07/2017,18:02:34,SigStr,5
06/07/2017,18:02:06,Tx Good,26301
06/07/2017,18:02:34,Modem Power,0
06/07/2017,18:15:00,BTV,13.30
06/07/2017,18:15:00,COND,360
06/07/2017,18:15:00,ODO,9.25
06/07/2017,18:15:00,PH,8.85
06/07/2017,18:15:00,TEMP,17.35
06/07/2017,18:15:00,TURB,12.72
06/07/2017,18:15:00,W.LVL,0.3250
06/07/2017,18:15:00,PLSTEMP,17.60
06/07/2017,18:30:00,BTV,13.33
06/07/2017,18:30:00,COND,359
06/07/2017,18:30:00,ODO,9.27
06/07/2017,18:30:00,PH,8.85
06/07/2017,18:30:00,TEMP,17.26
06/07/2017,18:30:00,TURB,14.99
06/07/2017,18:30:00,W.LVL,0.3240
06/07/2017,18:30:00,PLSTEMP,17.50
06/07/2017,18:45:00,BTV,13.47
06/07/2017,18:45:00,COND,360
06/07/2017,18:45:00,ODO,9.27
06/07/2017,18:45:00,PH,8.85
06/07/2017,18:45:00,TEMP,17.23
06/07/2017,18:45:00,TURB,14.07
06/07/2017,18:45:00,W.LVL,0.3250
06/07/2017,18:45:00,PLSTEMP,17.40
06/07/2017,18:53:21,Modem Power,1
